# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       3.779728490569e-10       1.123721382872e-13      -3.489050900143e-12       4.542478136846e-16       8.998699191253e-12       1.261913212554e-12      -6.695077369672e-15 
  106       3.822224189114e-10       1.142108745584e-13      -3.576101247512e-12       4.630912063775e-16       8.776250192303e-12       1.236858694161e-12      -6.603919583732e-15 
  107       3.864955541255e-10       1.160196789965e-13      -3.662846200254e-12       4.720321116760e-16       8.561082269211e-12       1.212536880450e-12      -6.513441037680e-15 
  108       3.907912820702e-10       1.177966333510e-13      -3.749213248058e-12       4.810715843952e-16       8.352678902181e-12       1.188906964549e-12      -6.424842395796e-15 
  109       3.951084650564e-10       1.195398097860e-13      -3.835129027866e-12       4.902107229661e-16       8.150436798836e-12       1.165919693374e-12      -6.339397753819e-15 
  110       3.994459942254e-10       1.212473232810e-13      -3.920520028011e-12       4.994505457158e-16       7.953801924810e-12       1.143529453085e-12      -6.258202603084e-15 
  111       4.038034109666e-10       1.229174949469e-13      -4.005314757673e-12       5.087916000078e-16       7.762702700544e-12       1.121732819504e-12      -6.181377844725e-15 
  112       4.081803553278e-10       1.245487110231e-13      -4.089441895950e-12       5.182343043327e-16       7.577167862782e-12       1.100534496611e-12      -6.108766240074e-15 
  113       4.125763704710e-10       1.261393742457e-13      -4.172829661238e-12       5.277790679257e-16       7.397191805753e-12       1.079935295033e-12      -6.040175860133e-15 
  114       4.169908992495e-10       1.276879050582e-13      -4.255405839098e-12       5.374262903360e-16       7.222733463375e-12       1.059932003381e-12      -5.975379093968e-15 
  115       4.214232807859e-10       1.291927428225e-13      -4.337097810125e-12       5.471763609972e-16       7.053715191450e-12       1.040517259590e-12      -5.914111657091e-15 
  116       4.258727470502e-10       1.306523470297e-13      -4.417832577812e-12       5.570296587973e-16       6.890021649864e-12       1.021679422263e-12      -5.856071599849e-15 
  117       4.303384194369e-10       1.320651985113e-13      -4.497536796420e-12       5.669865516485e-16       6.731498684790e-12       1.003402442008e-12      -5.800918315808e-15 
  118       4.348193053435e-10       1.334298006498e-13      -4.576136798845e-12       5.770473960572e-16       6.577952210883e-12       9.856657327806e-13      -5.748271550147e-15 
  119       4.393142947480e-10       1.347446805898e-13      -4.653558624485e-12       5.872125366941e-16       6.429147093482e-12       9.684440432245e-13      -5.697710408036e-15 
  120       4.438221567866e-10       1.360083904489e-13      -4.729728047106e-12       5.974823059641e-16       6.284806030810e-12       9.517073280110e-13      -5.648772363029e-15 
  121       4.483415363316e-10       1.372195085285e-13      -4.804570602712e-12       6.078570235762e-16       6.144608436170e-12       9.354206191806e-13      -5.600952265448e-15 
  122       4.528709505692e-10       1.383766405249e-13      -4.878011617409e-12       6.183369961137e-16       6.008189320149e-12       9.195438974831e-13      -5.553701350774e-15 
  123       4.574089684599e-10       1.394784664069e-13      -4.949977144672e-12       6.289226443775e-16       5.875218075527e-12       9.040405568168e-13      -5.506522780152e-15 
  124       4.619547797530e-10       1.405238845675e-13      -5.020396839696e-12       6.396149028974e-16       5.745647461463e-12       8.889041726656e-13      -5.459272802188e-15 
  125       4.665076851967e-10       1.415118865921e-13      -5.089201469314e-12       6.504148657209e-16       5.619491249689e-12       8.741345807208e-13      -5.411892481517e-15 
  126       4.710669175475e-10       1.424415146286e-13      -5.156322066832e-12       6.613236633197e-16       5.496746399691e-12       8.597294988023e-13      -5.364314035850e-15 
  127       4.756316395867e-10       1.433118629579e-13      -5.221689967056e-12       6.723424631652e-16       5.377392569561e-12       8.456844658083e-13      -5.316460603856e-15 
  128       4.802009421374e-10       1.441220795639e-13      -5.285236841313e-12       6.834724703036e-16       5.261391626862e-12       8.319927806644e-13      -5.268246013045e-15 
  129       4.847738420809e-10       1.448713677042e-13      -5.346894732474e-12       6.947149279313e-16       5.148687159485e-12       8.186454412736e-13      -5.219574547655e-15 
  130       4.893492803736e-10       1.455589874794e-13      -5.406596089973e-12       7.060711179702e-16       5.039203986513e-12       8.056310834657e-13      -5.170340716534e-15 
  131       4.939261200633e-10       1.461842574044e-13      -5.464273804834e-12       7.175423616429e-16       4.932847669075e-12       7.929359199467e-13      -5.120429021026e-15 
  132       4.985031443066e-10       1.467465559777e-13      -5.519861244689e-12       7.291300200479e-16       4.829504021207e-12       7.805436792486e-13      -5.069713722854e-15 
  133       5.030790543847e-10       1.472453232522e-13      -5.573292288804e-12       7.408354947351e-16       4.729038620716e-12       7.684355446786e-13      -5.018058612005e-15 
  134       5.076524677208e-10       1.476800624053e-13      -5.624501363099e-12       7.526602282810e-16       4.631296320035e-12       7.565900932691e-13      -4.965316774616e-15 
  135       5.122219158963e-10       1.480503413088e-13      -5.673423475169e-12       7.646057048639e-16       4.536100757084e-12       7.449832347269e-13      -4.911330360854e-15 
  136       5.167858426679e-10       1.483557940995e-13      -5.719994249309e-12       7.766734508390e-16       4.443253866130e-12       7.335881503827e-13      -4.855930352807e-15 
  137       5.213427387671e-10       1.485961499799e-13      -5.764150568005e-12       7.888648509081e-16       4.352577918145e-12       7.223813046213e-13      -4.798984062959e-15 
  138       5.258915662422e-10       1.487713196598e-13      -5.805832497189e-12       8.011805739391e-16       4.264047587108e-12       7.113613104663e-13      -4.740543668247e-15 
  139       5.304313744707e-10       1.488813208786e-13      -5.844981627536e-12       8.136210885449e-16       4.177670686007e-12       7.005319095243e-13      -4.680712677643e-15 
  140       5.349611662117e-10       1.489262537039e-13      -5.881540524388e-12       8.261868415684e-16       4.093446646380e-12       6.898960523691e-13      -4.619599650838e-15 
