# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  143       5.482885400061e-10       1.479919152839e-13      -5.990499696507e-12       0.000000000000e+00       3.853555686862e-12       6.591669112136e-13      -4.429731198580e-15 
  144       5.527768268914e-10       1.477637246596e-13      -6.016561910985e-12       0.000000000000e+00       3.777762107642e-12       6.493181265285e-13      -4.364679117694e-15 
  145       5.572496901813e-10       1.474717139147e-13      -6.039763740113e-12       0.000000000000e+00       3.703985153952e-12       6.396649852499e-13      -4.298966039267e-15 
  146       5.617058277326e-10       1.471164980866e-13      -6.060054039666e-12       0.000000000000e+00       3.632169365494e-12       6.302052191011e-13      -4.232732314950e-15 
  147       5.661438826928e-10       1.466987865166e-13      -6.077382898850e-12       0.000000000000e+00       3.562249366138e-12       6.209356112216e-13      -4.166123842990e-15 
  148       5.705624423797e-10       1.462193845926e-13      -6.091701679002e-12       0.000000000000e+00       3.494149644728e-12       6.118519736600e-13      -4.099292139074e-15 
  149       5.749600371619e-10       1.456791954907e-13      -6.102963052296e-12       0.000000000000e+00       3.427784335879e-12       6.029491248664e-13      -4.032394407165e-15 
  150       5.793351393387e-10       1.450792219181e-13      -6.111121040448e-12       0.000000000000e+00       3.363057000786e-12       5.942208671854e-13      -3.965593610345e-15 
  151       5.836861620198e-10       1.444205678548e-13      -6.116131053415e-12       0.000000000000e+00       3.299860408021e-12       5.856599643489e-13      -3.899058541650e-15 
  152       5.880114580059e-10       1.437044402963e-13      -6.117949928104e-12       0.000000000000e+00       3.238076314339e-12       5.772581189685e-13      -3.832963894916e-15 
  153       5.923094416182e-10       1.429321359069e-13      -6.116536208726e-12       0.000000000000e+00       3.177599918708e-12       5.690077888571e-13      -3.767458482188e-15 
  154       5.965789692851e-10       1.421049959179e-13      -6.111850935731e-12       0.000000000000e+00       3.118416243000e-12       5.609078733027e-13      -3.702566413211e-15 
  155       6.008189923558e-10       1.412244503404e-13      -6.103857004333e-12       0.000000000000e+00       3.060530465022e-12       5.529585148080e-13      -3.638276824157e-15 
  156       6.050284368393e-10       1.402920343283e-13      -6.092518969041e-12       0.000000000000e+00       3.003943790515e-12       5.451592947248e-13      -3.574574815002e-15 
  157       6.092062029110e-10       1.393093898439e-13      -6.077803083597e-12       0.000000000000e+00       2.948653359619e-12       5.375092201120e-13      -3.511441358140e-15 
  158       6.133511644187e-10       1.382782673235e-13      -6.059677340906e-12       0.000000000000e+00       2.894652153332e-12       5.300067105935e-13      -3.448853206992e-15 
  159       6.174621683890e-10       1.372005273423e-13      -6.038111512976e-12       0.000000000000e+00       2.841928899976e-12       5.226495852159e-13      -3.386782804619e-15 
  160       6.215380345333e-10       1.360781422803e-13      -6.013077190846e-12       0.000000000000e+00       2.790467981655e-12       5.154350493063e-13      -3.325198192335e-15 
  161       6.255775547543e-10       1.349131979873e-13      -5.984547824526e-12       0.000000000000e+00       2.740249340719e-12       5.083596813300e-13      -3.264062918316e-15 
  162       6.295794926521e-10       1.337078954485e-13      -5.952498762927e-12       0.000000000000e+00       2.691248386223e-12       5.014194197485e-13      -3.203335946217e-15 
  163       6.335425830302e-10       1.324645524501e-13      -5.916907293796e-12       0.000000000000e+00       2.643435900396e-12       4.946095498771e-13      -3.142971563776e-15 
  164       6.374655314021e-10       1.311856052442e-13      -5.877752683653e-12       0.000000000000e+00       2.596777945095e-12       4.879246907429e-13      -3.082919291435e-15 
  165       6.413470134974e-10       1.298736102147e-13      -5.835016217719e-12       0.000000000000e+00       2.551235768271e-12       4.813587819423e-13      -3.023123790944e-15 
  166       6.451856747678e-10       1.285312455423e-13      -5.788681239860e-12       0.000000000000e+00       2.506765710430e-12       4.749050704991e-13      -2.963524773975e-15 
